,text,created_at,user,likes,retweets,links
178,RT @PhillyFireDept: Members of the PFD &amp; @PhillyPolice will show off their skills at the Hero Thrill Show on Sept. 10 at @WellsFargoCtr. Ti…,2022-09-02 17:51:13+00:00,PhillyPolice,0,14,
179,Wanted: Suspects for Shooting Incident in the 39th District [VIDEO] https://t.co/kezxM2MHKv https://t.co/OZaxRZrlmR,2022-09-02 10:44:04+00:00,PhillyPolice,7,11,https://t.co/kezxM2MHKvhttps://t.co/OZaxRZrlmR
180,Wanted: Suspects for Commercial Robbery in the 24th District [VIDEO] https://t.co/20lkWVshvU https://t.co/RzHEYQJQ8r,2022-09-01 17:12:26+00:00,PhillyPolice,11,7,https://t.co/20lkWVshvUhttps://t.co/RzHEYQJQ8r
181,"The Philadelphia Police Department is accepting applications from September 5th until September 30th, 2022. Start at $59,795 https://t.co/3StrqL9j2x",2022-09-01 14:36:51+00:00,PhillyPolice,114,66,https://t.co/3StrqL9j2x
182,Wanted: Suspect for Burglary in the 6th District [VIDEO] https://t.co/iCCjfhJpHB https://t.co/pkddsU4fGG,2022-09-01 10:47:42+00:00,PhillyPolice,9,10,https://t.co/iCCjfhJpHBhttps://t.co/pkddsU4fGG
183,Wanted: Suspect for Commercial Robbery in the 6th District [VIDEO] https://t.co/Xl2CzC2GwL https://t.co/s6vb578Ckr,2022-08-30 17:42:07+00:00,PhillyPolice,7,6,https://t.co/Xl2CzC2GwLhttps://t.co/s6vb578Ckr
184,Wanted: Suspects for Commercial Robbery in the 22nd District [VIDEO] https://t.co/Tge6DbSqKA https://t.co/esichKsyRg,2022-08-29 19:55:40+00:00,PhillyPolice,6,7,https://t.co/Tge6DbSqKAhttps://t.co/esichKsyRg
185,Wanted: Suspects for Robbery in the 22nd District [VIDEO] https://t.co/HTl0pcsRoJ https://t.co/q0qOgzJr4R,2022-08-29 19:38:15+00:00,PhillyPolice,16,13,https://t.co/HTl0pcsRoJhttps://t.co/q0qOgzJr4R
186,Wanted: Suspects for Shooting Incident in the 15th District [VIDEO] https://t.co/hnh5NGCQrG https://t.co/aWk9spvwEq,2022-08-29 11:22:10+00:00,PhillyPolice,16,15,https://t.co/hnh5NGCQrGhttps://t.co/aWk9spvwEq
187,Wanted: Suspects for Homicide in the 25th District [VIDEO] https://t.co/wvU3Z5OyYW https://t.co/6ODVHGOswj,2022-08-26 10:50:44+00:00,PhillyPolice,18,19,https://t.co/wvU3Z5OyYWhttps://t.co/6ODVHGOswj
188,Wanted: Suspect for Shooting Incident in the 6th District [VIDEO] https://t.co/xD8aIBGTa4 https://t.co/svg7lDRXbY,2022-08-25 10:37:58+00:00,PhillyPolice,11,17,https://t.co/xD8aIBGTa4https://t.co/svg7lDRXbY
189,Wanted: Suspects for Shooting Incident in the 19th District [VIDEO] https://t.co/gqjpgipRIz https://t.co/r0K48CVekX,2022-08-24 10:59:24+00:00,PhillyPolice,7,10,https://t.co/gqjpgipRIzhttps://t.co/r0K48CVekX
190,Wanted: Suspects for Robbery in the 39th District [VIDEO] https://t.co/d6R37Y10QZ https://t.co/pFLxftHKRs,2022-08-24 10:35:08+00:00,PhillyPolice,15,8,https://t.co/d6R37Y10QZhttps://t.co/pFLxftHKRs
191,"RT @PPDKCampbell: What a great day @PhillyPAL yesterday! Over 200 children, PAL officers and staff got to enjoy PAL Day at Dorney Park. Lot…",2022-08-23 13:48:03+00:00,PhillyPolice,0,7,
192,Wanted: Suspect for Multiple Commercial Burglaries in the 7th District [VIDEO] https://t.co/iWzHKTnAFe https://t.co/piZOOQOeSu,2022-08-23 11:40:12+00:00,PhillyPolice,6,4,https://t.co/iWzHKTnAFehttps://t.co/piZOOQOeSu
193,Wanted: Suspects for Shooting Incident in the 25th District [VIDEO] https://t.co/1gSr5fsP40 https://t.co/uvihqdgSrW,2022-08-23 11:14:50+00:00,PhillyPolice,14,11,https://t.co/1gSr5fsP40https://t.co/uvihqdgSrW
194,Wanted: Suspect for Shooting Incident in the 14th District [VIDEO] https://t.co/t84WIu9D68 https://t.co/NcgW7ekkau,2022-08-23 10:50:52+00:00,PhillyPolice,14,11,https://t.co/t84WIu9D68https://t.co/NcgW7ekkau
195,Wanted: Suspect for Auto vs Bicycle in the 2nd District [VIDEO] https://t.co/UAUvFGZuhs https://t.co/rcMGw2sxty,2022-08-22 14:34:42+00:00,PhillyPolice,7,3,https://t.co/UAUvFGZuhshttps://t.co/rcMGw2sxty
196,Wanted: Suspect for Shooting Incident in the 22nd District [VIDEO] https://t.co/pDw2CHiHJT https://t.co/g3a8c3vR7Z,2022-08-19 15:51:01+00:00,PhillyPolice,11,7,https://t.co/pDw2CHiHJThttps://t.co/g3a8c3vR7Z
197,RT @PPDCommish: Huge thanks to CM @DavidOhPhilly for hosting the 6th Annual First Responder Appreciation Day in Philly! It was great to fee…,2022-08-17 19:52:39+00:00,PhillyPolice,0,5,
198,"RT @PPDCommish: 5 people shot, and almost 100 rounds fired - all in the area of a rec center. 3 in custody, and multiple weapons recovered…",2022-08-17 02:25:43+00:00,PhillyPolice,0,47,
199,Wanted: Suspect for Commercial Robbery in the 22nd District [VIDEO] https://t.co/QGrfLD6v0a https://t.co/fbIwlErQoZ,2022-08-16 16:57:00+00:00,PhillyPolice,6,6,https://t.co/QGrfLD6v0ahttps://t.co/fbIwlErQoZ
200,Wanted: Suspect for Sexual Assault in the 6th District https://t.co/pXZe2r0q1O https://t.co/16KlaZhQ8A,2022-08-15 21:41:11+00:00,PhillyPolice,14,17,https://t.co/pXZe2r0q1Ohttps://t.co/16KlaZhQ8A
201,VEHICLE THEFT CRIME PATTERN ⬇️⬇️⬇️ https://t.co/ulzU22HoyO,2022-08-12 18:44:49+00:00,PhillyPolice,37,28,https://t.co/ulzU22HoyO
202,RT @PPDFrankVanore: PPD SIG Detectives are looking to identify the individual in this video clip who are responsible for a Aggravated Assau…,2022-08-11 17:40:28+00:00,PhillyPolice,0,16,
203,Wanted: Suspect for Shooting Incident in the 25th District [VIDEO] https://t.co/2fFiv77uNW https://t.co/wniLHeO9Bw,2022-08-11 16:50:24+00:00,PhillyPolice,7,5,https://t.co/2fFiv77uNWhttps://t.co/wniLHeO9Bw
204,Wanted: Suspect for Residential Burglary in the 5th District [VIDEO] https://t.co/05SCRW1Jip https://t.co/ZvsT7t8I5I,2022-08-11 11:24:11+00:00,PhillyPolice,27,27,https://t.co/05SCRW1Jiphttps://t.co/ZvsT7t8I5I
205,Wanted: Suspect for Homicide in the 1st District https://t.co/tUHOkLCmVt https://t.co/TpbKADkede,2022-08-11 01:54:09+00:00,PhillyPolice,24,33,https://t.co/tUHOkLCmVthttps://t.co/TpbKADkede
206,Wanted: Suspect for Homicide in the 14th District [VIDEO] https://t.co/PZQuOuLK3E https://t.co/0Jxyy2fPip,2022-08-10 17:17:09+00:00,PhillyPolice,14,17,https://t.co/PZQuOuLK3Ehttps://t.co/0Jxyy2fPip
207,Wanted: Suspect for Commercial Burglary in the 6th District [VIDEO] https://t.co/vMZSf0Yw0c https://t.co/iIKXR2odOT,2022-08-09 17:25:28+00:00,PhillyPolice,11,10,https://t.co/vMZSf0Yw0chttps://t.co/iIKXR2odOT
208,Wanted: Suspect for Homicide in the 22nd District https://t.co/P7PEyjjG61 https://t.co/JVexhj2ufz,2022-08-09 14:02:51+00:00,PhillyPolice,24,29,https://t.co/P7PEyjjG61https://t.co/JVexhj2ufz
209,"RT @PhiladelphiaGov: Due to extremely hot conditions, a Heat Health Emergency is now in effect. 

The Heatline is accepting calls for all t…",2022-08-08 16:54:01+00:00,PhillyPolice,0,29,
210,Wanted: Suspect for Multiple Indecent Assaults in the 9th District https://t.co/Nh7nVCRpzy https://t.co/oIYg0VA8T7,2022-08-08 14:42:05+00:00,PhillyPolice,11,15,https://t.co/Nh7nVCRpzyhttps://t.co/oIYg0VA8T7
211,Wanted: Suspect for Multiple Commercial Burglaries in the 14th District [VIDEO] https://t.co/5jlJNQL8mJ https://t.co/L9zvEkhmFu,2022-08-08 10:42:14+00:00,PhillyPolice,10,7,https://t.co/5jlJNQL8mJhttps://t.co/L9zvEkhmFu
