time,open,high,low,close,volume
2022-11-21 17:00:00,220.44,220.44,220.44,220.44,22645
2022-11-21 16:00:00,220.06,221.505,220.055,220.44,265069
2022-11-21 15:00:00,219.21,220.23,219.0,220.06,85324
2022-11-21 14:00:00,219.56,220.11,219.07,219.225,76767
2022-11-21 13:00:00,219.045,220.0635,218.92,219.505,69198
2022-11-21 12:00:00,220.775,220.86,218.42,218.93,92889
2022-11-21 11:00:00,220.07,220.74,219.15,220.74,122613
2022-11-21 10:00:00,216.46,220.91,216.19,220.06,100722
2022-11-18 17:00:00,219.86,219.86,219.0,219.0,12311
2022-11-18 16:00:00,217.79,220.31,217.78,219.88,304024
2022-11-18 15:00:00,217.01,217.88,216.56,217.81,116510
2022-11-18 14:00:00,216.51,217.74,216.35,216.99,103503
2022-11-18 13:00:00,217.16,217.465,215.85,216.43,104351
2022-11-18 12:00:00,217.58,218.38,216.82,217.205,141968
2022-11-18 11:00:00,219.18,220.41,217.27,217.53,204350
2022-11-18 10:00:00,216.98,220.08,215.6,219.23,93148
2022-11-18 09:00:00,216.16,216.16,216.16,216.16,245
2022-11-17 20:00:00,215.6999,215.6999,215.6999,215.6999,102
2022-11-17 17:00:00,214.88,215.0,214.88,215.0,15982
2022-11-17 16:00:00,214.875,214.99,213.16,214.86,274583
2022-11-17 15:00:00,215.06,215.29,214.5,214.875,153395
2022-11-17 14:00:00,215.58,216.35,214.27,215.16,102031
2022-11-17 13:00:00,213.44,215.64,213.31,215.455,105207
2022-11-17 12:00:00,212.42,213.46,211.15,213.275,101287
2022-11-17 11:00:00,212.78,214.8,212.0,212.36,126723
2022-11-17 10:00:00,217.5,217.99,212.73,212.945,74357
2022-11-17 09:00:00,217.5,217.5,217.5,217.5,694
2022-11-16 17:00:00,219.1,219.1,219.1,219.1,11045
2022-11-16 16:00:00,219.76,220.54,218.76,219.09,657713
2022-11-16 15:00:00,218.445,220.08,218.25,219.885,291728
2022-11-16 14:00:00,219.24,219.97,218.405,218.43,333441
2022-11-16 13:00:00,216.225,219.29,215.695,219.16,195576
2022-11-16 12:00:00,214.85,216.73,214.85,216.26,149665
2022-11-16 11:00:00,212.47,215.32,212.45,214.85,133419
2022-11-16 10:00:00,212.85,214.29,209.56,212.43,151500
2022-11-16 09:00:00,214.96,215.0099,214.96,215.0099,231
2022-11-16 08:00:00,214.18,214.18,214.18,214.18,400
2022-11-16 07:00:00,216.2,216.2,216.2,216.2,400
2022-11-15 18:00:00,216.2,216.2,216.2,216.2,400
2022-11-15 17:00:00,216.2,216.2,216.2,216.2,27832
2022-11-15 16:00:00,215.65,216.82,214.96,216.2,278951
2022-11-15 15:00:00,213.6401,216.2,213.23,215.72,139653
2022-11-15 14:00:00,214.63,214.66,212.565,213.71,109804
2022-11-15 13:00:00,214.135,214.75,213.965,214.48,55663
2022-11-15 12:00:00,214.175,214.325,213.05,214.22,184611
2022-11-15 11:00:00,213.82,216.08,212.87,214.21,181799
2022-11-15 10:00:00,216.06,217.48,211.92,213.83,114122
2022-11-15 07:00:00,215.11,215.11,212.0,212.0,224
2022-11-14 17:00:00,212.78,212.78,212.78,212.78,33362
2022-11-14 16:00:00,216.115,216.49,212.59,212.71,446328
2022-11-14 15:00:00,216.775,217.3,216.09,216.09,207647
2022-11-14 14:00:00,215.4,216.94,215.3,216.76,108998
2022-11-14 13:00:00,215.95,217.05,215.25,215.4,117927
2022-11-14 12:00:00,215.94,216.13,213.365,215.96,154737
2022-11-14 11:00:00,214.63,216.48,214.37,215.8474,215343
2022-11-14 10:00:00,209.59,214.25,209.26,214.25,207220
2022-11-14 08:00:00,210.0,210.0,210.0,210.0,101
2022-11-11 18:00:00,209.05,209.05,209.05,209.05,1815
2022-11-11 17:00:00,209.05,209.05,209.05,209.05,119954
2022-11-11 16:00:00,209.26,209.39,207.96,208.98,295397
2022-11-11 15:00:00,207.92,209.98,207.7,209.14,121235
2022-11-11 14:00:00,208.305,209.01,207.49,207.745,143405
2022-11-11 13:00:00,208.18,208.56,207.59,208.22,119622
2022-11-11 12:00:00,214.18,214.45,208.21,208.22,151577
2022-11-11 11:00:00,210.91,213.99,210.16,213.875,134000
2022-11-11 10:00:00,211.35,213.28,209.17,211.29,91101
2022-11-10 17:00:00,210.59,210.59,210.59,210.59,16864
2022-11-10 16:00:00,209.1041,211.235,208.93,210.59,351489
2022-11-10 15:00:00,208.875,209.2,208.145,209.14,105980
2022-11-10 14:00:00,208.68,209.83,208.67,208.87,110686
2022-11-10 13:00:00,211.12,211.12,208.34,208.58,110075
2022-11-10 12:00:00,212.315,212.315,210.4,211.09,194346
2022-11-10 11:00:00,213.65,215.55,211.73,212.24,153965
2022-11-10 10:00:00,211.04,213.61,209.73,213.6,107756
2022-11-10 09:00:00,205.44,205.44,205.44,205.44,200
2022-11-09 18:00:00,203.4,203.4,203.4,203.4,1410
2022-11-09 17:00:00,203.4,203.4,203.4,203.4,10586
2022-11-09 16:00:00,203.96,204.75,203.2,203.39,283258
2022-11-09 15:00:00,203.73,204.14,202.84,203.93,126648
2022-11-09 14:00:00,206.45,206.72,203.25,203.73,119911
2022-11-09 13:00:00,207.305,207.42,205.73,206.41,99179
2022-11-09 12:00:00,205.8,207.93,205.7,207.335,91083
2022-11-09 11:00:00,205.29,208.1011,205.29,205.84,172593
2022-11-09 10:00:00,205.3,206.95,202.92,205.29,100536
2022-11-08 18:00:00,207.15,207.15,207.15,207.15,11177
2022-11-08 17:00:00,207.15,207.15,207.15,207.15,16693
2022-11-08 16:00:00,206.53,208.36,206.51,207.18,296215
2022-11-08 15:00:00,207.69,207.92,205.09,206.53,137945
2022-11-08 14:00:00,211.67,211.775,207.54,207.69,131898
2022-11-08 13:00:00,211.51,212.5,210.69,211.73,136176
2022-11-08 12:00:00,211.03,212.96,210.85,211.58,151331
2022-11-08 11:00:00,207.77,212.57,207.37,211.03,178572
2022-11-08 10:00:00,210.07,210.84,206.79,207.545,72117
2022-11-07 17:00:00,208.99,208.99,208.99,208.99,14465
2022-11-07 16:00:00,208.15,210.42,207.63,208.98,546174
2022-11-07 15:00:00,207.17,208.52,207.17,208.015,276136
